7AOWdsaJabI	NA	4715.0	Evolution, Covid 19 and Natural Selection with Spencer Wells: EMP Podcast 55
EbNxuzDbEQI	NA	5458.0	Spirituality, Meaning & Jordan Peterson v. David Abram with John Vervaeke: EMP Podcast 54
e6M2-X5nkKk	NA	1032.0	You're going to speed climb that f@*$ing tree? EMP vlog 4
DaClM6uJSzA	NA	5570.0	Parkour, Fight Club, and Self Transformation with Brandon Douglass: EMP Episode 53
CMlNdDUOkY4	NA	2601.0	Stop Chasing Pain PART 2 with Perry Nickelston: EMP Podcast 52
2RDKGC-9HVk	NA	4463.0	Stop Chasing Pain PART 1 with Perry Nickelston: EMP Podcast 51
Yf6xemDGcqE	NA	278.0	Forest Parkour Jam: EMP VLOG 3
HqVOoPAwRcI	NA	3436.0	Fitness and Natural Movement - Bridging the Gap with Kelly Starret: EMP Podcast 50
bqWPjatvN-4	NA	3430.0	Establishing the Essential Practices with Kelly Starrett: EMP Podcast 49
fLVftY2DeVw	NA	4060.0	Cultivating the Heroic Sage with John Vervaeke: EMP Podcast 48
3lB-QHSLG0Y	NA	5385.0	Telling Stories Through Movement with Simon Thakur: EMP Podcast 47
tGidCSZvZdQ	NA	393.0	We are the Dread Pirate Roberts: EMP VLOG 2
jRWSwNEczi0	NA	4665.0	The Transformative Power of Nature Connection with Kyle Koch: EMP Podcast 46
yV6bgLk0mlM	NA	4431.0	COVID19 and Understanding risk and uncertainty with Erich Lin: EMP Podcast 45
vKa_i2ZGL_Q	NA	6913.0	Aliveness and necessity of opponent processing with Matt Thornton: EMP Podcast 44
klp_M-_QGIM	NA	8299.0	Nassim Taleb, Strength and Uncertainty with Erich Lin: EMP Podcast 43
c4FLWO4rZs4	NA	906.0	Coronavirus: Why you need to shut down your gym! Parkour, MMA, Jiujitsu, Yoga, or Fitness
8fPmW27TM78	NA	399.0	Zero Margin for Error: Evolve Move Play VLOG
kCCWyMdtdaI	NA	703.0	Coronavirus: Why Containment won't be enough
peCpiiItrJE	NA	1090.0	A Primer on Coronavirus for the Movement Community: EMP Podcast 42
saf21H5JG4Q	NA	118.0	Aliveness: the path of true movement ability
Gy7civ6iXc8	NA	3343.0	Aliveness and the Universal Athletic Human Blueprint: EMP Podcast 41
yiU_SNeSbV0	NA	6114.0	Constraint Led Coaching with James Smith: EMP Podcast 40
K8ANdLkoZTo	NA	6386.0	Parkour/Art Du Deplacement As Therapy with Kasturi Torchia: EMP Podcast 39
iP-BRHYhZr4	NA	5506.0	Applying Ecological Dynamics to Physical Education with Peter Verdin: EMP Podcast 38
HHDEGJuy4wU	NA	151.0	This was transformational for me: Retreat testimonial Alexander Bourke
YL5NMIplWF0	NA	5631.0	Creating Movement Problem Solvers with Shawn Myszka: EMP Podcast 37
KgdtxbT1CiI	NA	4535.0	Maping Evolve Move Play with John Vervaeke: EMP Podcast 36
49b-jUYeFvM	NA	104.0	The world's most epic movement training: Return to the Source 2019
y5STJIGKjpA	NA	3706.0	How to Learn Movement? Ecological Dynamics & Natural Movement EMP Podcast 35
oZuJAxMp9PY	NA	105.0	Hitting the Ground: Breakfalls Return to the source 2019
j79678W-9L0	NA	146.0	The Creek Run: Return to the Source 2019
DDgLgz2uvQM	NA	2704.0	The Heroic Journey, Parkour & Jordan Peterson: EMP Podcast 34
HintiZSdKuk	NA	113.0	Monkey Dancing: Roughhousing from Return to the source 2019
ZSxnXptwj3g	NA	1049.0	The Two Heroic Conflicts: EMP Podcast 33
tUWRb70TaJ4	NA	151.0	Better Monkey, Better Human: Treerunning @ Return to the Source 2019
8aALUAhoDFY	NA	101.0	Treerunning: Name this game - "Go with the Flow"
e0fByUIiNbQ	NA	1825.0	The Why, What and How of Evolve Move Play: EMP Podcast 32
JC3ujvuHtQo	NA	127.0	Animal Forms: Return to the Source 2019
bPNnJgyUrK0	NA	3523.0	Moving Beyond Mindfulness with Mark Walsh: EMP Podcast 31
nBw3bqj79Ok	NA	61.0	Alpine snowball fight: Return to the source 2019
4VYjbugUSXY	NA	54.0	Natural Movement & Parkour: Online Course
gIGRb3BbCJE	NA	53.0	Move Like a Human | Free Online Natural Movement course
jhFcasC16Lc	NA	181.0	Roughhousing: The Drunken Games
kAZVBSTCaNk	NA	4575.0	Returning to the Source: Guest host Aaron Cantor interviews Rafe EMP podcast Ep. 30
9LzqHTXyQIk	NA	232.0	Show me how you get down! Return to the Source 2019
kxpJCkahZqQ	NA	3623.0	Playing With Movement With Todd Hargrove: EMP Podcast 29
IkzeUaby-8c	NA	4872.0	The Body as Poetry with Fighting Monkey's Jozef Frucek: EMP Podcast 28
mFKchTIUXAk	NA	5896.0	Finding Balance with Soisci Porchetta: EMP Podcast 27
h9khBv_GMaQ	NA	4349.0	A Road Map to Self Transformation with Mark Walsh: EMP Podcast 26
iiqXOWQJcpM	NA	6836.0	Building an Ecology of practices for self transcendence with John Vervaeke: EMP Podcast 25
Y5wlVSq9ImA	NA	940.0	The Antifragile Ankle: How to build strong, mobile adaptable ankles for parkour and natural movement
w5xTLFOB5rc	NA	4757.0	How to develop strength, skill and conditioning for Parkour with Ryan Ford: EMP Podcast 24
KtkpWcWWZKE	NA	4217.0	Reconnecting to the Way of Parkour With Thomas Couetdic: EMP Podcast 23
nR-FXrV0aUg	NA	4244.0	The Ecology of Self Transformation with Simon Thakur: Evolve Move Play Podcast 22
N-jS2Qq8xA8	NA	754.0	Overcoming Knee pain for Parkour & Natural movement
oQkGomrleAg	NA	6297.0	A Taste for the Struggle with Ševo Saša: EMP Podcast 21
SAEIBIoKrFI	NA	5058.0	Creating Stronger Communities With Play and Parkour: EMP Podcast Ep 20 with Caitlin Pontrella
g1ZtZBvTWXc	NA	4900.0	Exploring the Outer Limits of Parkour, with Storror's Callum Powell: EMP Episode 19
UK7hmWDverM	NA	5257.0	Facing Failure and Finding Freedom with Amos Rendao: EMP Podcast 18
NmAO8hSQnpg	NA	5987.0	The Meaning Crisis and the Role of Movement Practice with John Vervaeke: EMP Podcast 17
2uo_lk4dwjA	NA	454.0	Podcast Bite:   Allignment, Awareness & Intuition in movement with Stephane Vigroux
mZybVAIOwX0	NA	6839.0	Exploring Intuition and Rationality with Marcello Palozzo: Evolve Move Play Podcast Episode 16
2ixGoU8UGFY	NA	5441.0	The Power of Stories with Aaron Cantor: Evolve Move Play Podcast Episode 15
sQR0IUpcenI	NA	6647.0	Parkour for all ages: With Julie Angel Evolve Move Play podcast Ep. 14
RWI8K0rqN6U	NA	121.0	Snow Monkeys: Winter Natural Movement
988XPOjFrPU	NA	61.0	Return to the Source: Roughhousing
4r7mI8Xr9Cc	NA	227.0	A Tribes Journey: Return to the Source 2018!
Ze1SltxQhi0	NA	59.0	Sand Sea and Stone
fy9ECGfZFXw	NA	3378.0	Monday Movement Review
pNKJde4tWmA	NA	5569.0	Evolution, broken solutions, and the problem of updating with Razib Khan
VqnmdCw-e54	NA	6130.0	EMP Podcast: What is Embodiment with Mark Walsh
e5Ja2iLFumQ	NA	91.0	How to roll on concrete: The soft tissue pathway
OwStLxuzJ1c	NA	169.0	Stride Vaults Vs Complex Vaults for Parkour & Natural Movement
4rZvcJlt9-A	NA	173.0	How to Breakfall: Partner Breakfalls
B191o9WRLFg	NA	639.0	How to Breakfall For Natural Movement & Parkour
GoFgJtf8aNQ	NA	61.0	Can You Walk Like A Human?
HpfgMGrQlxI	NA	4368.0	Do you want to be a lab rat or street rat? With Jozef Frucek from Fighting Monkey
weiJnTlXWp8	NA	5073.0	Power, Choice and Virtue: With Rory Miller EMP podcast Ep. 9
_jmtF5IwVeo	NA	248.0	How to Climb Trees: Tree Bridging and Leaping
9XTlmPo2qrs	NA	40.0	Why you should train Evolve Move Play!
YfZMOZ0_nRU	NA	6128.0	Breaking the Jump with Stephane Vigroux: EMP podcast ep. 8
sm9P8U5nhSU	NA	162.0	How to develop the Kong/cat pass/saut du chat: The Two Hand mount
HVluUeG-0Hw	NA	3143.0	Katy Bowman & Movement Ecology: EMP podcast Ep. 7
eV5EtWkDIeg	NA	6646.0	Mastering Focus and Healthy Eating in the Digital Age
SbmAHYR5oHU	NA	155.0	Why We Need Movement, Not Exercise!
Vau47F3WQQg	NA	24.0	Failure is the foundation of success 1: Tree Flip Fail
WjcwARnp6Ao	NA	263.0	The Self Worth Esteeming
acBEJJYPDs8	NA	131.0	How to Natural Movement: Intro to Treeclimbing
kd1BIjFWrwA	NA	77.0	How to Kong Vault 3: Getting rid of Zombie Arms
BLMLPPcNkQo	NA	120.0	How To Warm Up with Natural Movement
GuhFwun5GYg	NA	170.0	Return to the Joy: Parkour in Nature
YhsgrSpTKK0	NA	39.0	Tree Climbing Vlog: Seattle Colors
orhTh0S0KMk	NA	309.0	Tree Climbing Vlog 1: Crazy Cedar
nyC2GjD45IY	NA	99.0	Rafe's Tree climbing Vlog: Scaffold Cedar
Efg7E7FXOms	NA	138.0	Epic Tree Climbing at Sunset
km3cFCtlmr8	NA	49.0	Whatcom Creek Fun: Return to the Source 2017
ZT28SqfpUxk	NA	109.0	Natural Movement how to: Short kip to elbows
Wmcw82fcM8M	NA	92.0	Natural Movement: How to Dyno for tree climbing
Wx50BL4iSVs	NA	439.0	Play Rough to Learn to be Good - Natural Movement discussions
fx8VpE7e4y4	NA	83.0	Natural Movement Games - Torso Tag
LPFISkXK0Yw	NA	41.0	Natural Movement Games - Drunk Friend
h68q9OWqzFo	NA	31.0	Scramble and Slide: Natural movement on slopes
BDaW36oIAbY	NA	58.0	Fire Making: Natural Movement and Nature Awareness
lxGvLr7D6rA	NA	92.0	Natural Movement Principles: Aliveness
jQox5KZamrQ	NA	324.0	Re-enchant your world: Natural Movement and Nature awareness
7TqGwSI2wwo	NA	50.0	Natural Movement & Roughhousing: Sliding Grappling.
0eGmxCSFp18	NA	62.0	How to Roughhouse: Intro to wrestling, foot tag
A7tXiw35NS4	NA	141.0	Return to the Source 2017: The Power of Tribe
KlQb1MiwFTk	NA	81.0	Natural Movement in the snow
wGPLbAXuRWE	NA	4139.0	What does it mean to move like a Human?
753ANvLayIg	NA	112.0	30 Day tree climbing challenge!
lE_molu68K4	NA	562.0	How to roughhouse: Intro to roughhousing and wrist to wrist contact improv
uJQHYfRUWw8	NA	266.0	How to Roughhouse: King of the Log intro to grappling
ND1pc7rgvSg	NA	284.0	How to Roughhouse: Torso Tag intro to striking
sKg2tu-DRFc	NA	35.0	Roughousing: Playing Slaps!
wqFJEQopKdY	NA	89.0	Natural Movement Kids: Evolve Move Play family class
ytWtmxE7ag0	NA	70.0	Return to the Source Movement Camp Locations Tour
Z7cvfysaYCE	NA	135.0	Natural Movement: Introducing Ben Medder new EMP coach
PUBK9JSTsmE	NA	341.0	Natural Movement Beginner's Squat Tip
kYomUf0Jc1U	NA	16.0	Tree Bridging Natural Movement Practice
1YCOuyAB2tI	NA	200.0	How to climb tree's safely
QmNUGmhb0sU	NA	2314.0	Tom Weksler interview
oGdS1o6E0vw	NA	99.0	How to Kong Vault 1: Developing The Kong Up
JH_7wcZYtMc	NA	151.0	How to Kong Vault 2: A Simple way to develop the split step
9ZoaBoUWby8	NA	4350.0	Evolve Move Play Natural Movement Podcast with Simon Thakur
xQ19srOq7u8	NA	341.0	Natural Movement Basics You Can Apply Right Now
-Ua4R_SXcoo	NA	145.0	Indoor Natural Movement Practice Ideas
4QLBxgnPBJc	NA	106.0	Visualizations For Entering a Tree's Canopy (Natural Parkour Training)
d6HjkMPNRIQ	NA	56.0	Massive Banyan Tree Climbing in Australia
vGvv0Jv8bP0	NA	77.0	ODINS DAY TRAINING HIGHLIGHT
mjBIvJJuCtY	NA	32.0	Gibbon Joe @ Oakland Zoo
9xuUv-jPES4	NA	90.0	Scott Rosen Movement Mentorship Testimonial
rdOZbZW81bk	NA	16.0	Turkish Get ups @ Evolve Move Play Experience Victoria, B.C.
VZtyU4O8PZ0	NA	191.0	Rafe Rant - Movement Diversity
